cytoband	8q24.21	3q26.2	19q12	1p34.3	11q14.1	19p13.12	1q21.3	7q36.3	1q42.3	Xp11.23	5p15.33	15q26.3	Xq28	12p12.1	2q31.2	20q13.33	6p22.3	14q11.2	4p16.3	10q22.3	10p15.3	8p11.21	4q13.3	20q11.21	12p13.33	19q13.2	17q25.3	18q11.2	14q32.33	2p23.2	12q15	22q12.2	8q13.2	11p13	
								GIMAP8																											
								CRYGN																											
								ZNF425																											
								LOC155060																											
								ZNF746																											
								ATP6V0E2																											
								RBM33																											
								GALNTL5																											
								GIMAP7																											
								ZNF467																											
								GIMAP1																											
								PAXIP1-AS1																											
								C7orf33																											
								FABP5P3																											
								CNPY1																											
								AC073133.1																											
								ZNF775																											
								LINC00996																											
								ATG9B																											
								BLACE																											
								WDR86																											
								ATP6V0E2-AS1																											
								MIR153-2																											
								GIMAP6																											
								ZNF862																											
								MNX1-AS1																											
								ACTR3C																											
								MIR595																											
								LOC728743																											
								MIR671																											
								HTR5A-AS1																											
								LINC01003																											
								WDR86-AS1																											
								PAXIP1-AS2																											
								ZNF783																											
								MIR548F3																											
								MIR548I4																											
								MIR548T																											
								MIR3907																											
								PRKAG2-AS1																											
								LINC01006																											
								AC011899.9																											
								GIMAP1-GIMAP5																											
								MIR5707																											
								RNU6-33P																											
								AC006372.4																											
