cytoband	9p21.3	10q23.31	11q24.3	4q34.3	1p36.31	1p22.1	6q26	15q21.1	2q37.3	16q24.3	5q11.2	19p13.3	3q13.31	16p13.3	5q31.3	15q13.3	2q37.2	13q34	15q14	4p16.3	14q32.31	5p15.31	10p15.3	16q12.1	9p23	5q34	22q12.1	1q42.12	12q12	12q23.3	Xp21.1	10q21.1	3p26.1	12q24.33	7q21.11	17q21.31	14q23.3	10q26.3	11q13.1	2p25.2	4q25	8p23.3	3q26.31	18q23	19q13.43	17p13.3	9q21.11	
						BCAR3			AQP12A	MC1R		WDR18			EGR1			TUBGCP3	TP53BP1		EIF5	PDCD6		PHKB		NKX2-5	UQCR10	ITPKB	CELA1	LTA4H			RAB5A	RP11-386I8.6		NSF			CTSW	HADHA		MIR7160	IL1RAP	NETO1	TNNI3	VPS53	CA9	
						ARHGAP29			OR6B2	MVD		LPPR3			ETF1			TNFSF13B	TYRO3		ELK2AP	MARCH6		RBL2		DBN1	ZMAT5	KCNH1	GPD1	LUM			RAF1	MIR6763		PPY			DDB1	HADHB			KNG1	PARD6G	TNNT1	NXN	CCIN	
						GLMN			MIR149	CHMP1A		KISS1R			FAT2			RASA3	JMJD7-PLA2G4B		EML1	BASP1		SALL1		DOCK2	KREMEN1	KCNK1	NCKAP1L	KITLG			RPL32			PYY			EEF1G	HPCAL1			LPP	CNDP1	ZNF8	FAM57A	CD72	
						MTF2			PRR21	RPL13		MIDN			FGF1			MYO16	SNAP23		GALC	SLC12A7		SIAH1		DRD1	ZNRF3	KCNK2	NR4A1	MVK			SATB1			SLC4A1			MARK2	ID2			NDUFB5	FAM69C	ZNF17	RILP	CKS2	
						KIAA1107			AQP12B	SPG7		R3HDM4			GFRA3			ATP11A	TGM5		GTF2A1	PAPD7		SLC6A2		SLC26A2	ASCC2	LBR	HNRNPA1	MYBPC1			SEC13			UBTF			ESRRA	KCNF1			OPA1	CBLN2	MZF1	MIR22HG	CLTA	
						LRRC8B			PP14571	SLC7A5		TMEM259			GLRA1			MCF2L	PPIP5K1		BRF1	TPPP		N4BP1		DUSP1	EMID1	MARK1	HOXC4	MYL2			SETMAR			WNT3			FAU	KCNK3			PIK3CA	FBXO15	ZNF132	SMYD4	CNTFR	
						RWDD3			MIR4269	CDK10		GRIN3B			GM2A			TMCO3	LCMT2		HSP90AA1	EXOC3		IRX5		EBF1	HSCB	NEK2	HOXC5	NFYB			SLC6A1			WNT9B			MS4A2	KCNS3			POLR2H	ZADH2	ZNF134	SLC43A2	COL15A1	
						SNORA66			MIR2467	MBTPS1		CIRBP-AS1			GPX3			DCUN1D2	RASGRP1		IFI27	CCT5		DNAJA2		F12	CCDC117	NID1	HOXC6	PAH			SLC6A6			MAP3K14			FEN1	KHK			MASP1	SMIM21	ZNF135	WDR81	CTSL	
						DNTTIP2			MIR4786	TAF1C		C19orf26			NR3C1			ANKRD10	GPR176		ITPK1	FBXL7		ZNF267		FABP6	CABP7	NVL	HOXC8	CDK17			SLC6A11			EFTUD2			FKBP2	KIF3C			PSMD2	LINC00908	ZNF154	TUSC5	CTSV	
						TMED5			CAPN10-AS1	USP10		MIR3187			HARS			RAB20	CHP1		JAG2	KIAA0947		NUDT21		FAT2	TTC28-AS1	PPP2R5A	HOXC9	SLC25A3			SYN2			GOSR2			FTH1	MATN3			RFC4	LOC339298	UBE2M	FAM101B	CTSLP8	
						FNBP1L				VPS9D1					HSPA9			CARKD	OIP5		KLC1	PP7080		ZNF423		FGFR4	SNORD125	PROX1	HOXC10	PMCH			TIMP4			PLEKHM1			GIF	MPV17			SNORA63	ATP9B	ZNF264	C17orf97	CYLC2	
						LRRC8D				KIAA0513					NDST1			PCID2	BAHD1		MARK3	IRX4		RPGRIP1L		FOXI1	MIR3199-2	PSEN2	HOXC11	PPP1CC			NR2C2			LRRC37A			GNG3	MYCN			TRA2B	LOC400655	NCR1	MIR22	DAPK1	
						CCBL2				PIEZO1					HTR4			UPF3A	MAPKBP1		ATXN3	TAS2R1		ORC6		GABRA1	MIR3199-1	PTPN14	HOXC12	RFX4			VHL			HDAC5			DNAJC4	ODC1			ST6GAL1	LINC00909	TRIM28	BHLHA9	ECM2	
						RPAP2				ATP2C2					IK			CARS2	RTF1		NDUFB1	FAM134B		TP53TG3		GABRA6	MIR3653	RAB4A	HOXC13	SELPLG			WNT7A			GJC1			INCENP	POMC			SOX2	FLJ44313	ZNF256	TLCD2	S1PR3	
						ZNF644				EMC8					NDUFA2			GRTP1	MGA		SERPINA5	FAM105A		DKFZP434H168		GABRB2	ZNRF3-AS1	SRP9	IGFBP6	SNRPF			XPC			HEXIM1			FADS1	PPM1G			SST	HSBP1L1	ZNF211	DBIL5P	FANCC	
						LRRC8C				TUBB3					NPY6R			ABHD13	VPS39		SERPINA1	NSUN2		TOX3		GABRG2	MIR5739	AURKAPS1	ITGA5	TDG			BRPF1			C1QL1			FADS3	PPP1CB			THPO	C18orf63	TRAPPC2P1	PITPNA-AS1	FANCG	
						GBP4				PRDM7					PCDH1			ADPRHL1	CCNDBP1		SERPINA4	CEP72		BRD7		GABRP	MIR6818	TARBP1	ITGB7	TMPO			COLQ			RUNDC3A			LTBP3	RPS7			FXR1	PARD6G-AS1	ZNF274	MIR3183	FBP1	
						GBP5				TCF25					PCDHGC3			TEX29	TMEM87A		PPP2R5C	ANKH		CES1P1		GLRA1		TBCE	KRT1	NR2C1			CAMK1			GPATCH8			MEN1	RRM2			TP63	LOC100131655	ZNF460	LOC100506371	FKTN	
						SLC44A3				ZCCHC14					PDE6A			SPACA7	RPAP1		LGMN	AHRR		LPCAT2		GM2A		TGFB2	KRT2	HSP90B1			BHLHE40			FAM215A			SCGB2A1	SDC1			CHRD	RP11-510D19.1	SLC27A5	LOC100506388	FOXE1	
						TMEM56				GSE1					PDGFRB			LINC00346	RPUSD2		PSMC1	MRPL36		HEATR3		GRK6		LEFTY2	KRT3	TXNRD1			KAT2B			SOST			SCGB2A2	SOX11			EIF2B5	LOC100505817	LILRB4		FXN	
						GBP6				COTL1					PFDN1			CHAMP1	TUBGCP4		MOK	BRD9		OGFOD1		GPX3		TLR5	KRT4	UBE2N			SH3BP5			ARL17A			MAP3K11	ADAM17			USP13	RBFADN	U2AF2		GALT	
						HFM1				MLYCD					POU4F3			TMEM255B	EHD4		SEL1L	FASTKD3		VPS35		GRIA1		GPR137B	KRT5	UNG			VGLL4			SLC25A39			OSBP	TPO			CLDN1	RP11-111H3.3	PPP6R1		GAS1	
						ALG14				CPNE7					PPP2R2B			ATP11AUN	NDUFAF1		TNFAIP2	IRX1		NOD2		GRM6		TP53BP2	KRT6A	EEA1			EDEM1			HIGD1B			OVOL1	TSSC1			MAP3K13	LINC01029	ZIM2		GCNT1	
						EPHX4				IL17C					PURA			LINC00452	NUSAP1		TRAF3	ZDHHC11		PAPD5		HK3		TRAF5	KRT6B	GALNT4			TBC1D5			LRRC37A4P			PGA5	UCN			ADIPOQ		HSPBP1		B4GALT1	
						ZNF326				ANKRD11					RPS14			GAS6-AS1	SPTBN5		TSHR	LPCAT1		AKTIP		HMMR		TSNAX	KRT7	CRADD			TATDN2			ATXN7L3			PLCB3	VSNL1			ECE2		ZNF324		GNAQ	
						BTBD8				OSGIN1					SLC6A7			LINC00552	DLL4		VRK1	CLPTM1L		FTO		HNRNPAB		USH2A	KRT8	SOCS2			SRGAP3			C17orf53			POLR2G	SLC30A3			ABCC5		CHMP2A		HNRNPK	
						CCDC18				GINS2					SPARC			MCF2L-AS1	INO80		WARS	ROPN1L		IRX6		HRH2		WNT9A	KRT18	WSCD2			IQSEC1			TMUB2			PPP2R5B	PXDN			ALG3		ZNF544		HSD17B3	
						BARHL2				TRAPPC2L					SPINK1			GAS6-AS2	PPP1R14D		XRCC3	MED10		IRX3		NDST1		SLC30A1	KRT81	SART3			ARPC4			ACBD4			PYGM	KLF11			KCNMB2		UBE2S		DNAJA1	
						GBP7				NECAB2					TAF7			LINC00565	HAUS2		YY1	NKD2		SHCBP1		HTR4		HIST3H3	KRT82	GIT2			TADA3			DCAKD			RAB3IL1	NCOA1			IGF2BP2		CCDC106		IARS	
						C1orf146				KLHDC4					TCOF1			COL4A2-AS1	RMDN3		GPR68	FAM105B		CHD9		IL12B		GNPAT	KRT83	NUAK1			ATG7			DBF4B			MAP4K2	ASAP2			CLDN16		EPN1		IL11RA	
						FAM69A				DEF8					UBE2D2			ATP11A-AS1	DNAJC17		TCL1A	ZNF622		ITFG1		ITK		CDC42BPA	KRT84	NR1H4			CHL1			TMEM101			RARRES3	SLC5A6			MCF2L2		ZNF580		NCBP1	
						GBP1P1				BANP					WNT8A			MYO16-AS1	PAK6		GPR65	C5orf55		NETO2		KCNMB1		DEGS1	KRT85	SH2B3			CAND2			G6PC3			RELA	EIF2B4			ATP11B		GP6		NDUFB6	
						FLJ27354				ZDHHC7					NME5			LINC00676	CASC5		ADAM6	CCDC127		LONP2		LCP2		TAF1A	KRT86	ARPC3			RFTN1			ASB16			DPF2	TAF1B			VPS8		ZNF581		NFIL3	
						FLJ31662				JPH3					EIF4EBP3			LINC01070	STARD9		DLK1	UBE2QL1		CAPNS2		MFAP3		GGPS1	LALBA	PLXNC1			NUP210			PLCD3			ROM1	ITGB1BP1			FETUB		PPP1R12C		NFX1	
						GEMIN8P4				TLDC1					PCDHGB4			MIR8073	VPS18		CCNK	C5orf49		MT4		MSX2		TMEM63A	NELL2	CKAP4			PLCL2			TMEM106A			SIPA1	OTOF			LAMP3		ZNF586		NINJ1	
						RBMXL1				WFDC1					CDC23			MIR8075	ZNF106		MTA1	FAM173B		GPT2		NPM1		TOMM20	NFE2	METAP2			ANKRD28			SPATA32			SLC3A2	ROCK2			KCNMB3		EPS8L1		NPR2	
						SETSIP				MTHFSD					HDAC3				CHAC1		RPS6KA5	CMBL		ABCC11		PDE6A		URB2	SLC11A2	KERA			CAPN7			HEXIM2			STX3	TP53I3			ZNF639		ZNF444		NTRK2	
						LOC729930				DBNDD1					MYOT				TMEM62		TRIP11	PLEKHG4B		NKD1		PDGFRB		LPGAT1	PCBP2	PRDM4			MKRN2			LSM12			STX5	MRPL33			PEX5L		NLRP2		ROR2	
						RP4-639F20.1				KLHL36					NRG2				ELL3		NRXN3	C5orf38		MYLK3		PROP1		BPNT1	PDE1B	PWP1			THUMPD3			CCDC43			TCN1	BRE			DNAJB11		ZNF416		OMD	
						MIR760				FBXO31					RNF14				C15orf41		BAG5	IRX2		ABCC12		RARS		LEFTY1	PFDN5	FICD			HACL1			CD300LG			TM7SF2	GREB1			DCUN1D1		ZNF446		OGN	
						RP5-1033H22.2				CDT1					PCDHGA8				ZFYVE19		C14orf2	ADAMTS16		C16orf78		RPS14		SPHAR	PFKM	NUDT4			TTLL3			KIF18B			SCGB1A1	LAPTM4A			KLHL24		NAT14		PAX5	
						LOC100131564				MAP1LC3B					PCDHA9				DISP2		CDC42BPB	LINC01018		ANKRD26P1		SGCD		CAPN9	POU6F1	UHRF1BP1L			CNTN6			CRHR1-IT1			VEGFB	RNF144A			TBCCD1		VN1R1		PCSK5	
						TMEM56-RWDD3				HSDL1					MATR3				C15orf57		TCL1B	LINC01019		SNX20		SLC6A7		DUSP10	PPP1R1A	CUX2			LSM3			NAGS			BEST1	SNX17			LEPREL1		ZNF304		PGM5	
						RP11-286B14.1				CRISPLD2					KIAA0141				KNSTRN		KIAA0125	LOC285692		LOC146481		SLC34A1		COG2	PRKAG1	KIAA1033			LINC00312			SPPL2C			SF1	SUPT7L			ABCF3		ZNF471		PHF2	
						LINC01057				SPIRE2					JAKMIP2				BMF		TECPR2	AC091878.1		CES5A		SLIT3		RBM34	PRPH	ISCU			LMCD1			ARHGAP27			ZFPL1	PREB			PARL		USP29		PPP3R2	
						RP5-898J17.1				ZNF469					SLC23A1				CHST14		GOLGA5	SLC6A19		CNEP1R1		SNCB		FBXO28	TWF1	CORO1C			SSUH2			STH			FOSL1	PDIA6			MFN1		ZNF71		PRKACG	
										CENPBD1					GNPDA1				TGM7		FBLN5	LINC01020		RP11-461O7.1		SPARC		ABCB10	RARG	UTP20			TRNT1			KANSL1			BANF1	MYCNOS			YEATS2		ZNF667		PRSS3	
										ZNF276					SRA1				CATSPER2		SIVA1	SLC6A18		RP11-488I20.3		STK10		RAB3GAP2	RNY5	MRPL42			CRBN			C17orf105			RPS6KA4	CGREF1			MCCC1		ZSCAN18		PTCH1	
										KCNG4					KIF20A				PLA2G4E		CYP46A1	LRRC14B		MT1DP		ZNF354A		INTS7	SCN8A	IFT81			CCDC174			FAM171A2			SYT7	RAB10			HRASLS		CENPBD1P1		RMRP	
										RNF166					G3BP1				LOC145845		PAPOLA	FLJ33360		SLC6A10P		TCOF1		NSL1	SMARCD1	FAM216A			GHRL			C17orf104			SART1	YWHAQ			MRPL47		ZSCAN5A		RORB	
										DNAAF1					APBB3				TMCO5A		PTPN21	LOC401177		C16orf87		TTC1		RPS6KC1	SP1	HCFC2			ARL8B			ASB16-AS1			FIBP	EMILIN1			SENP2		LILRP2		CCL19	
										SPATA2L					TNIP1				ZSCAN29		RCOR1	LINC01194		C16orf97		STC2		RNU5F-1	TARBP2	SYCP3			SETD5			CCDC103			MTA2	GPN1			GNB4		ZNF329		CCL21	
										SPATA33					BRD8				TTBK2		PACS2	MARCH11		LOC390705		ADAM19		TAF5L	TMBIM6	CHST11			TMEM40			RPRML			SNORD29	MAPRE3			RTP4		ZNF419		SHB	
										ZC3H18					TCERG1				CDAN1		PPP1R13B	LOC442132		CES1P2		FGF18		DISC2	TFCP2	CCDC53			EMC3			MGC57346			SNORD31	SLC4A1AP			MAGEF1		ISOC2		SYK	
										SLC38A8					HNRNPA0				STRC		DICER1	ANKRD33B		FLJ26245		ATP6V0E1		DISC1	VDR	CCDC41			BRK1			LRRC37A2			SNORD30	EFR3B			ZMAT3		ZNF552		TAL2	
										SLC22A31					SPINK5				CSNK1A1P1		FLRT2	GUSBP1		UBE2MP1		PTTG1		FLVCR1	WNT1	GPN3			RAD18			LOC644172			SNORD28	MYT1L			TBL1XR1		ZNF671		TESK1	
										FLJ30679					SYNPO				SPRED1		KIF26A	SDHAP3		CASC16		PDLIM7		CNIH4	WNT10B	GLTP			LRRN1			KANSL1-AS1			SNORD27	WDR43			MAP6D1		ZNF606		TGFBR1	
										RP11-514D23.1					ABLIM3				ADAL		TMEM251	LOC728613		LOC643802		CNOT8		PYCR2	MAP3K12	ANAPC7			CIDEC			NSFP1			SNORD26	LPIN1			B3GNT5		BRSK1		TLE1	
										ZFPM1					HMGXB3				EXD1		TCL6	LOC729506		CRNDE		HAND1		NENF	TUBA1A	NT5DC3			ZFYVE20			MAPT-AS1			SNORD25	PUM2			ATP13A4		SUV420H2		TLE4	
										ADAD2					ARHGAP26				FSIP1		FOXN3-AS2	SNORD123		LINC00273		MED7		RRP15	KMT2D	VPS29			MTMR14			MAPT-IT1			SNORD22	NTSR2			MGC2889		ZBTB45		TLN1	
										SNAI3-AS1					HARS2				RHOV		GPR132	LOC100130744		TP53TG3C		ADAMTS2		TRIM17	AAAS	SSH1			MRPS25			LINC00910			SLC22A6	IFT172			KLHL6		ZNF587		TMOD1	
										LINC00311					PCDHGA12				UBR1		SERPINA10	MIR4277		TP53TG3D		CLINT1		KCTD3	SOAT2	PARPBP			CRELD1			MAP3K14-AS1			SLC22A8	SH3YL1			VWA5B2		FIZ1		TPM2	
										ZNF778					LRRTM2				PLA2G4F		GLRX5	MIR4278		TP53TG3B		G3BP1		DTL	NPFF	RIC8B			TMEM43			MIR2117			NRXN2	SNORD53			TMEM41A		GALP		VCP	
										ACSF3					CCDC69				LRRC57		EVL	LOC100505625		RP11-80F22.15		TNIP1		ARID4B	ENDOU	APPL2			ZNF385D			MIR4315-2			FADS2	TRIB2			CAMK2N2		ZNF628		CORO2A	
										LINC00304					PCDHB5				FAM98B		GSKIP	MIR4458HG		HERC2P4		SLU7		EGLN1	KRT75	DRAM1			HDAC11			MIR4315-1			NAALADL1	GRHL1			RPL39L		ZNF551		XPA	
										SNAI3					SNORD63				PLA2G4D		CINP	SNHG18		MIR3935		RGS14		MAP10	SCAF11	SVOP			TSEN2			ARL17B			KCNK7	NRBP1			DNAJC19		ZNF835		ZNF189	
										FAM92B					SNORA74A				MRPL42P5		ASB2	ROPN1L-AS1		LINC00919		CPLX2		MARC2	DDX23	STAB2			GRIP2			MIR5089			RASGRP2	ITSN2			FAM131A		RDH13		ZFAND5	
										CTU2					PKD2L2				C15orf52		CPSF2	LOC100506688		FTO-IT1		FAXDC2		SUSD4	SLC4A8	VEZT			C3orf20			LINC00854			RTN3	TRAPPC12			TMEM207		ZIM3		NR4A3	
										PABPN1L					IL17B				C15orf53		KCNK10	LOC100506858		LOC100507534		FAM114A2		GPATCH2	ESPL1	GOLGA2P5			JAGN1			AC003102.3			CDC42EP2	DNAJC27			RTP1		KIR3DL3		PIP5K1B	
										LOC400548					PCDHB1				C15orf54		CDCA4	MIR4458		LOC100507577		LMAN2		TMEM206	DAZAP2	SCYL2			LINC00852			LINC01180			NXF1	ATRAID			TTC14		ZNF837		RECK	
										FENDRR					DCTN4				EIF2AK4		NRDE2	MIR4454		MIR548AE2		SOX30		BATF3	TROAP	POLR3B			IL17RC			MIR6782			KAT5	NBAS			MB21D2		ZNF543		CDC14B	
										RP11-46C24.3					MZB1				CATSPER2P1		ATG2B	MIR4457		RNU6-76P		B4GALT7		SLC30A10	YAF2	FGD6			EAF1			MIR6784			SSSCA1	SF3B6			CCDC50		COX6B2		TMEFF1	
										C16orf74					PAIP2				CKMT1A		UBR7	MIR4637		RP11-523L20.2		SYNPO		IARS2	TUBA1B	NDUFA12			OXNAD1			MIR6783			DRAP1	YPEL5			PYDC2		NLRP13		FBP2	
										SNORD68					PCDH12				C15orf62		MEG3	MIR4636		MIR6771		RNF44		ENAH	RAPGEF3	ANKS1B			FANCD2OS						TAF6L	CPSF3			HTR3C		NLRP8		GRHPR	
										LINC00917					FAM13B				C15orf56		SMEK1	MIR4456		RP11-152O14.1		ABLIM3		NUP133	MCRS1	CHPT1			GALNT15						SCGB1D2	SNTG2			LIPH		NLRP5		FAM189A2	
										VPS9D1-AS1					FAM53C				PHGR1		BTBD7	MIR4635				HMGXB3		RCOR3	ATF7	TMCC3			KCNH8						SCGB1D1	ATAD2B			HTR3D		ZNF787		TJP2	
										URAHP					REEP2				MIR626		TDP1	RP11-310P5.1				ATP10B		ERO1LB	GALNT6	NTN4			CHCHD4						EHD1	TMEM214			RP11-48F14.1		ZFP28		GABBR2	
										AC137932.6					LARS				MIR627		ZNF839	CTD-3080P12.3				N4BP3		SMYD2	COPZ1	TRPV4			METTL6						STIP1	SLC35F6			NAALADL2		SMIM17		GDA	
										RP5-1142A6.2					CXXC5				OIP5-AS1		SPATA7	LOC101929034				FAF2		ADCK3	FAIM2	ACTR6			TAMM41						SF3B2	TRMT61B			UTS2B		C19orf18		GNA14	
