cytoband	9p21.3	2q22.1	8p23.2	1p13.1	4q35.2	5q11.2	10q23.31	13q11	11p15.5	19p13.3	11q25	18q23	16q23.1	9p23	2q37.3	4q22.1	22q13.32	21q11.2	3p13	6q26	13q14.2	15q12	10p15.3	9q21.11	19q13.32	3p25.3	12q24.33	4p16.3	3p12.3	15q21.1	Xp22.2	17q25.3	7q11.22	1p36.11	14q32.33	16q24.3	3q11.1	17p13.3	16p13.3	14q11.2	13q34	6q22.31	22q11.1	7q36.3	10q26.3	6p25.3	8p11.21	17p11.2	19q11	5q35.2	17q11.2	Xp11.3	1p36.32	2p25.3	12q12	3q29	19q13.43	
									LINC01001						FARSB							GOLGA8M			MIR3190									EXOSC10		VPS9D1-AS1				OR4N2										MSX2			SKI	LINC01105		LEPREL1		
									MIR210HG						ARL4C							GOLGA8O			MIR320E									RAP1GAP		URAHP				OR4K2										NPM1			SLC2A5	FAM84A		LSG1		
									MIR6743						RAMP1							GOLGA6L7P			NAPA-AS1									RHCE		AC137932.6				OR4K13										PDE6A			SRM	CYS1		HRASLS		
									MIR6744						NMUR1							GOLGA8H			PPP5D1									RHD		RP5-1142A6.2				OR4K17										PDGFRB			TNFRSF1B	ATP6V1C2		SENP2		
															STK25							PWRN1			DACT3-AS1									RPL11		MIR4722				OR4N5										MAPK9			TP73	RNASEH1		RTP4		
															COPS8							PWRN2												RPS6KA1		MIR5189				OR11G2										PROP1			TNFRSF4	FAM150B		MAGEF1		
															CAPN10							SNORD116-1												RSC1A1		MIR6775				OR11H4										RARS			ZBTB17	IAH1		ATP13A3		
															SP140							SNORD116-2												SDHB						RNASE9										RPS14			PRDM2	FLJ33534		PIGZ		
															PASK							SNORD116-3												SLC9A1						OR5AU1										SGCD			MMP23B	LINC00298		IQCG		
															ATG4B							SNORD116-4												SRM						POTEG										SLC6A7			MMP23A	LINC00299		ATP13A4		
															SH3BP4							SNORD116-5												TCEA3						OR11H12										SLC34A1			KCNAB2	LINC01115		FYTTD1		
															KCNE4							SNORD116-8												TCEB3						RNASE13										SLIT3			AKR7A2	MSGN1		MGC2889		
															NGEF							SNORD116-10												TNFRSF1B						OR4Q3										SNCB			ALDH4A1	GEN1		LRCH3		
															SNORD82							SNORD116-11												ZBTB17						OR4M1										SPARC			EIF4G3	C2orf48		CEP19		
															SNED1							SNORD116-12												SLC30A2						RNASE12										STK10			TNFRSF25	RNF144A-AS1		LMLN		
															GIGYF2							SNORD116-13												LUZP1						DUXAP10										ZNF354A			TNFRSF14	LOC400940		TMEM41A		
															TRAF3IP1							SNORD116-14												PRDM2						POTEM										TCOF1			TNFRSF18	LINC00487		TMEM44		
															ANO7							SNORD116-15												ARID1A						RP11-536C10.7										TTC1			PER3	FAM110C		TM4SF19		
															PRLH							SNORD116-16												NR0B2						ECRP										STC2			DHRS3	AC022311.1		RPL39L		
															THAP4							SNORD116-17												FCN3						TMEM253										ADAM19			VAMP3	DCDC2C		ZDHHC19		
															ANKMY1							SNORD116-18												AKR7A2						SNORD9										FGF18			H6PD	RAD51AP2		LRRC15		
															SCLY							SNORD116-20												ALDH4A1						SNORD126										SQSTM1			ISG15	MYT1L-AS1		FAM43A		
															ASB1							SNORD116-21												EIF4G3						LOC100508046										ATP6V0E1			PLCH2	SNORA80B		TMEM207		
															CAB39							SNORD116-22												MAP3K6						POTEH-AS1										PTTG1			CROCC	MIR4261		RTP1		
															UGT1A10							SNORD116-23												DHRS3						BMS1P17										PDLIM7			CEP104	MIR3125		MB21D2		
															UGT1A8							SNORD116-24												CROCC						LOC101929572										CNOT8			KLHL21	MIR4262		XXYLT1		
															UGT1A7							SNORD116-25												ZBTB40						RP11-84C10.4										HAND1			SLC35E2	LINC00276		CCDC50		
															UGT1A6							SNORD115-2												MFN2						MIR6717										MED7			MFN2	AC107070.1		PYDC2		
															UGT1A5							SNORD116-26												CELA3A																ADAMTS2			CELA3A	RNASEH1-AS1		NCBP2-AS2		
															UGT1A9							SNORD116-27												WASF2																CLINT1			ANGPTL7	LOC100506274		RNF168		
															UGT1A4							SNORD115-3												ANGPTL7																MAML1			UBE4B	AC011747.7		LIPH		
															UGT1A1							SNORD115-4												HNRNPR																GFPT2			MAD2L2	AC096559.1		SLC51A		
															UGT1A3							SNORD115-5												SRRM1																G3BP1			PDPN	LOC100506474		FBXO45		
															PID1							SNORD115-6												CNKSR1																TNIP1			MASP2	NT5C1B-RDH14		MUC20		
															ATG16L1							SNORD115-7												UBE4B																GNB2L1			UTS2	MIR4757		SENP5		
															USP40							SNORD115-8												MAD2L2																SLU7			RER1	MIR4429		LOC220729		
															HJURP							SNORD115-10												PDPN																RGS14			MST1P2	LINC00570		RP11-48F14.1		
															HES6							SNORD115-11												NUDC																CPLX2			MST1L	AC113607.2		TCTEX1D2		
															DOCK10							SNORD115-12												MASP2																FAXDC2			PADI2	LOC101926966		C3orf43		
															C2orf83							SNORD115-13												SRSF10																FAM114A2			PARK7	AC019118.2		SDHAP1		
															MFF							SNORD115-14												RCAN3																BTNL3			CTRC	AC105253.1		UTS2B		
															ACKR3							SNORD115-15												MST1P2																LMAN2			ACOT7	AC019048.1		C3orf70		
															RNPEPL1							SNORD115-16												MST1L																SOX30			CLSTN1	AC007463.2		TPRG1		
															WDFY1							SNORD115-17												PADI2																MGAT4B			AKR7A3	AC011747.4		EHHADH-AS1		
															NYAP2							SNORD115-18												LYPLA2																B4GALT7			SPEN	AC007249.3		LPP-AS2		
															GAL3ST2							SNORD115-20												CTRC																SYNPO			EMC1	LOC101929733		LOC344887		
															RAB17							SNORD115-22												AKR7A3																RNF44			KIF1B	MIR7515		RTP2		
															COPS7B							SNORD115-23												SPEN																HMGXB3			PLEKHM2	AC108025.2		OSTN		
															MRPL44							SNORD115-25												KDM1A																TBC1D9B			OTUD3	LOC102800314		ATP13A5		
															TRPM8							SNORD115-26												WDTC1																ATP10B			KAZN	LOC102800315		WDR53		
															MLPH							SNORD115-29												EMC1																N4BP3			CAMTA1			ANKRD18DP		
															IQCA1							SNORD115-30												KIF1B																FAF2			DNAJC16			NRROS		
															FAM124B							SNORD115-31												PLEKHM2																WWC1			UBR4			FLJ42393		
															TM4SF20							SNORD115-32												OTUD3																FBXW11			ATP13A2			LINC00884		
															C2orf54							SNORD115-33												KAZN																LARP1			TARDBP			LINC00885		
															ARMC9							SNORD115-34												DNAJC16																ZNF346			CELA3B			SNORD2		
															EFHD1							SNORD115-35												UBR4																GEMIN5			ICMT			SNORA4		
															SPHKAP							SNORD115-36												ATP13A2																CCDC69			PADI4			C3orf65		
															SLC19A3							SNORD115-37												TARDBP																TSPAN17			CHD5			GMNC		
															ILKAP							SNORD115-38												CELA3B																OR2V1			SZRD1			RP11-699L21.1		
															ITM2C							SNORD115-39												PADI4																HAVCR1			NOC2L			SNORA81		
															RHBDD1							SNORD115-40												TMEM50A																CYFIP2			FBXO2			MIR570		
															ING5							SNORD115-41												CLIC4																PRELID1			FBXO6			SDHAP2		
															MGC16025							SNORD115-44												SYF2																IL17B			PLA2G2D			FAM157A		
															DNER							SNORD116-28												SZRD1																MAT2B			HSPB7			MIR922		
															B3GNT7							SNORD116-29												LDLRAP1																MRPL22			ARHGEF16			MIR944		
															SP140L							SNORD115-48												FBXO2																TLX3			LINC00339			DPPA2P3		
															MOGAT1							SNORD115-24												FBXO6																KCNIP1			SSU72			LINC00887		
															AGAP1							SNORD115-27												PLA2G2D																ZNF354C			UBIAD1			LOC100131635		
															TWIST2							SNORD115-28												HSPB7																RPL26L1			PADI1			SNAR-I		
															DIS3L2							SNORD115-45												AHDC1																C5orf45			PLA2G2E			MIR1248		
															NEU4							SNORD115-47												LINC00339																DCTN4			WRAP73			MFI2-AS1		
															AP1S3							RP11-1084I9.1												UBIAD1																DDX41			SLC45A1			DLG1-AS1		
															SPATA3							LOC100131315												PADI1																NOP16			HP1BP3			TMEM44-AS1		
															FBXO36							GOLGA8F												PLA2G2E																HMP19			CELA2B			AC090505.6		
															MTERFD2							WHAMMP1												HP1BP3																UIMC1			SDF4			TM4SF19-TCTEX1D2		
															UBE2F							LOC100288637												CELA2B																RAB24			MRTO4			MIR4797		
															OTOS							LOC100289656												ZNF593																NEURL1B			PADI3			MIR5588		
															MYEOV2							MIR4509-1												MRTO4																FAM193B			ERRFI1			MIR5692C1		
															OR6B3							MIR4509-2												PADI3																TMED9			WNT4			LPP-AS1		
															LOC150935							MIR4715												WNT4																CDHR2			FBXO42			OPA1-AS1		
															LINC01107							TMCO5B												FBXO42																SPDL1			RNF186			TPRG1-AS2		
															LOC151174							LOC100996255												RNF186																THG1L			MXRA8			ADIPOQ-AS1		
															SLC16A14							GOLGA8R												GPN2																GALNT10			HES2			XXYLT1-AS1		
															AC098823.3																			FBLIM1																NHP2			FBLIM1			XXYLT1-AS2		
															LINC00471																			PQLC2																RBM22			PQLC2			RP11-329B9.1		
															AC012507.3																			CASZ1																RNF130			CASZ1			RP11-208N14.4		
															MSL3P1																			AIM1L																NMUR2			CPSF3L			MIR6829		
															DAW1																			TMEM51																KIAA1191			C1orf159					
															C2orf57																			ARHGEF10L																ERGIC1			AURKAIP1					
															TIGD1																			VPS13D																CLK4			MRPL20					
															LOC200772																			TMEM57																TENM2			TMEM51					
															C2orf72																			CAMK2N1																CNOT6			ARHGEF10L					
															RTP5																			ASAP3																C5orf54			VPS13D					
															DUSP28																			PNRC2																NSD1			ATAD3A					
															MROH2A																			PIGV																GMCL1P1			PANK4					
															ESPNL																			NBPF1																RMND5B			CAMK2N1					
															ECEL1P2																			NECAP2																RANBP17			NBPF1					
															SPATA3-AS1																			RCC2																PCYOX1L			NECAP2					
															RBM44																			MTFR1L																CCNJL			DNAJC11					
															AQP12A																			RSRP1																PANK3			RCC2					
															KLHL30																			AGTRAP																SAP30L			AJAP1					
															C2orf82																			PITHD1																BTNL8			CTNNBIP1					
															OR6B2																			MAN1C1																DOK3			AGTRAP					
															ASB18																			NIPAL3																ZFP2			TP73-AS1					
															FLJ43879																			SEPN1																RUFY1			PLEKHG5					
															MIR149																			PTCHD2																CPEB4			LRRC47					
															DNAJB3																			KIF17																PRR7			PTCHD2					
															LOC643387																			GRHL3																OR4F16			KIF17					
															PRR21																			IL22RA1																TRIM7			HES4					
															LOC646736																			MIIP																TIGD6			MIIP					
															PRSS56																			CELA2A																MXD3			CELA2A					
															AQP12B																			GPATCH3																THOC3			PRDM16					
															SNORA75																			PLA2G2F																TRIM52			PLA2G2F					
															AC097662.2																			CEP85																HAVCR2			NMNAT1					
															SCARNA6																			PINK1																PHYKPL			VWA1					
