Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	P.0000012.T03.IM3	P.0000082.T01.IM3	P.0000208.T01.IM3	P.0000235.T01.IM3	P.0000299.T01.IM3	P.0000302.T02.IM6	P.0000363.T01.IM3	P.0000458.T01.IM3	P.0000563.T01.IM3	P.0000604.T01.IM3	P.0000670.T01.IM3	P.0000681.T02.IM5	P.0000689.T02.IM5	P.0000731.T01.IM3	P.0000826.T01.IM3	P.0000894.T01.IM3	P.0000913.T02.IM5	P.0000978.T02.IM5	P.0001093.T01.IM3	P.0001121.T01.IM3	P.0001171.T01.IM3	P.0001340.T01.IM3	P.0001365.T02.IM3	P.0001385.T01.IM3	P.0001633.T01.IM3	P.0001665.T01.IM3	P.0001830.T01.IM3	P.0001836.T01.IM3	P.0001867.T01.IM3	P.0001955.T01.IM3	P.0001977.T01.IM3	P.0002028.T01.IM3	P.0002151.T01.IM3	P.0002160.T01.IM3	P.0002225.T02.IM5	P.0002247.T01.IM3	P.0002252.T01.IM3	P.0002295.T01.IM3	P.0002320.T01.IM3	P.0002351.T01.IM3	P.0002444.T01.IM3	P.0002485.T01.IM3	P.0002546.T01.IM3	P.0002559.T01.IM3	P.0002637.T01.IM3	P.0002639.T01.IM3	P.0002731.T02.IM5	P.0002751.T01.IM3	P.0002758.T01.IM3	P.0002766.T01.IM3	P.0002794.T02.IM5	P.0002806.T01.IM3	P.0002826.T01.IM3	P.0002874.T01.IM3	P.0002890.T01.IM3	P.0002905.T01.IM3	P.0002912.T01.IM3	P.0002917.T01.IM3	P.0002921.T01.IM3	P.0002965.T01.IM3	P.0002969.T01.IM3	P.0003017.T01.IM3	P.0003034.T01.IM5	P.0003119.T01.IM5	P.0003132.T01.IM5	P.0003157.T01.IM5	P.0003229.T01.IM5	P.0003275.T01.IM5	P.0003322.T01.IM5	P.0003347.T01.IM5	P.0003368.T01.IM5	P.0003495.T01.IM5	P.0003562.T02.IM5	P.0003584.T01.IM5	P.0003735.T01.IM5	P.0003738.T02.IM5	P.0003782.T01.IM5	P.0003869.T01.IM5	P.0003913.T01.IM3	P.0003964.T01.IM3	P.0003970.T02.IM5	P.0004020.T01.IM5	P.0004054.T01.IM5	P.0004232.T01.IM5	P.0004279.T01.IM5	P.0004436.T01.IM5	P.0004442.T01.IM5	P.0004463.T01.IM5	P.0004472.T01.IM5	P.0004495.T01.IM5	P.0004517.T01.IM5	P.0004588.T01.IM5	P.0004701.T01.IM5	P.0004752.T01.IM5	P.0004759.T01.IM5	P.0004827.T01.IM5	P.0004890.T01.IM5	P.0004961.T02.IM5	P.0004996.T02.IM5	P.0005048.T01.IM5	P.0005115.T01.IM5	P.0005289.T01.IM5	P.0005295.T01.IM5	P.0005320.T01.IM5	P.0005510.T01.IM5	P.0005629.T02.IM5	P.0005721.T01.IM5	P.0005752.T01.IM5	P.0005792.T01.IM5	P.0005848.T01.IM5	P.0005898.T01.IM5	P.0005975.T01.IM5	P.0005981.T01.IM5	P.0006047.T02.IM5	P.0006071.T01.IM5	P.0006084.T01.IM5	P.0006114.T02.IM5	P.0006294.T01.IM5	P.0006312.T02.IM5	P.0006330.T01.IM5	P.0006343.T01.IM5	P.0006364.T01.IM5	P.0006415.T01.IM5	P.0006540.T01.IM5	P.0006642.T01.IM5	P.0006724.T01.IM5	P.0006768.T02.IM5	P.0006895.T01.IM5	P.0006954.T01.IM5	P.0006993.T01.IM5	P.0007084.T02.IM5	P.0007088.T02.IM5	P.0007101.T02.IM5	P.0007121.T01.IM5	P.0007123.T01.IM5	P.0007278.T01.IM5	P.0007418.T01.IM5	P.0007420.T01.IM5	P.0007493.T02.IM5	P.0007582.T01.IM5	P.0007583.T01.IM5	P.0007597.T01.IM5	P.0007619.T01.IM5	P.0007633.T01.IM5	P.0007757.T02.IM5	P.0007861.T01.IM5	P.0007879.T01.IM5	P.0007977.T01.IM5	P.0007978.T01.IM5	P.0008176.T01.IM5	P.0008239.T01.IM5	P.0008295.T01.IM5	P.0008322.T01.IM5	P.0008370.T01.IM5	P.0008406.T01.IM5	P.0008442.T02.IM5	P.0008715.T01.IM5	P.0008786.T01.IM5	P.0008848.T01.IM5	P.0008851.T01.IM5	P.0008935.T01.IM5	P.0008944.T01.IM5	P.0008976.T01.IM5	P.0009080.T01.IM5	P.0009202.T01.IM5	P.0009256.T01.IM5	P.0009274.T01.IM5	P.0009293.T01.IM5	P.0009319.T01.IM5	P.0009379.T01.IM5	P.0009419.T01.IM5	P.0009426.T01.IM5	P.0009469.T01.IM5	P.0009473.T01.IM5	P.0009501.T01.IM5	P.0009505.T01.IM5	P.0009521.T01.IM5	P.0009586.T01.IM5	P.0009655.T01.IM5	P.0009680.T01.IM5	P.0009763.T01.IM5	P.0009764.T01.IM5	P.0009833.T01.IM5	P.0009959.T01.IM5	P.0010024.T01.IM5	P.0010025.T01.IM5	P.0010065.T01.IM5	P.0010213.T01.IM5	P.0010256.T01.IM5	P.0010636.T01.IM5	P.0010648.T01.IM5	P.0010715.T01.IM5	P.0010736.T01.IM5	P.0010760.T01.IM5	P.0010840.T02.IM5	P.0010891.T01.IM5	P.0010986.T01.IM5	P.0011033.T01.IM5	P.0011036.T01.IM5	P.0011149.T01.IM5	P.0011180.T01.IM5	P.0011192.T01.IM5	P.0011244.T01.IM5	P.0011254.T01.IM5	P.0011499.T01.IM5	P.0011541.T01.IM5	P.0011559.T01.IM5	P.0012076.T01.IM5	P.0012192.T02.IM5	P.0012373.T01.IM5	P.0012427.T01.IM5	P.0012629.T01.IM5	P.0012729.T01.IM5	P.0012817.T01.IM5	P.0012846.T01.IM5	P.0012849.T01.IM5	P.0012866.T01.IM5	P.0012908.T01.IM5	P.0012931.T01.IM5	P.0013653.T01.IM5	P.0014172.T01.IM5	P.0014269.T01.IM6	P.0014451.T01.IM6	P.0014529.T01.IM6	P.0014599.T01.IM6	P.0014786.T01.IM6	P.0014818.T01.IM6	P.0015078.T01.IM6	P.0015296.T01.IM6	P.0015531.T01.IM6	P.0015556.T01.IM6	P.0015758.T01.IM6	P.0015771.T01.IM6	P.0015780.T01.IM6	P.0015785.T01.IM6	P.0015984.T01.IM6	P.0016033.T01.IM6	P.0016046.T01.IM6	P.0016646.T01.IM6	P.0016809.T01.IM6	
Deletion Peak 43	19p13.2 	chr19:4108779-10244359(probes 32872:32912)       	chr19:5279816-7119526(probes 32890:32891)        	chr19:5265114-7212202(probes 32888:32904)        	0.07212	    0.17743		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	
Deletion Peak 44	19q13.32	chr19:40751194-47727060(probes 33023:33059)    	chr19:42798165-47727060(probes 33043:33059)    	chr19:45867086-45868153(probes 33052:33053)    	0.18217	    0.17743		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	
Deletion Peak 45	21q22.3 	chr21:1-48129895(probes 33689:34323)           	chr21:42452312-43995922(probes 34304:34313)    	chr21:42851155-42870080(probes 34309:34310)    	0.16437	          1		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	1	1	1	0	0	0	1	0	
Deletion Peak 46	21q22.3 	chr21:36259276-48129895(probes 34228:34323)    	chr21:42452312-43995922(probes 34304:34313)    	chr21:42851155-42870080(probes 34309:34310)    	0.16437	    0.16437		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	1	1	1	0	0	0	1	0	
Amplification Peak  1 - CN values	1p34.1  	chr1:45799181-51436104(probes 584:615)        	chr1:46740301-51434460(probes 613:614)        	chr1:40367521-51439753(probes 573:617)        	0.011646	   0.011646		Actual Copy Change Given	0.12682	-0.20548	-0.023196	-0.033541	0.010285	-0.10329	-0.23092	0.044942	0	0.0049969	0.038771	-0.049446	0.92635	-0.012989	-0.064911	0.94854	0.086233	0.15083	0.066832	0	0.049966	0.067805	0.28137	0.02806	-0.12564	0	0.014609	0.069812	-0.022686	-0.68715	-0.040752	-0.233	-0.017631	0.066229	-0.19112	-0.1431	1.3276	-0.016017	0.041034	0.020763	0.39778	0.058224	-0.095252	-0.19525	0.093904	0.069812	-0.372	0.039478	0.50846	-0.24338	0.053421	0.068136	-0.31061	0.067518	-0.13251	-0.1595	0.086666	-0.11055	-0.093667	0.044007	-0.074386	0.10366	0.068522	-0.025893	0	0.0019418	-0.0030475	0.045141	0.010703	-0.0023898	-0.013815	0	0.098415	-0.05585	0	0.031577	0	-0.071071	0.035947	-0.31972	-0.020275	-0.10434	3.6569	0.5371	0.84435	-0.05469	0.098821	0.017566	0.094567	-0.016567	-0.72517	0.026795	0.44528	0.17996	0.45996	-0.037762	-0.087447	0.083487	0.057511	0.042024	0.01419	-0.022195	-0.051586	-0.041159	-0.014778	-0.0045695	-0.13329	-0.079541	-0.87602	0.017881	0	0.11858	-0.037666	0.019083	-0.020751	-0.51259	0.0054139	0.012237	0.0091705	0.14503	-0.058988	0	-0.30591	0.0086135	-0.13096	-0.29248	1.4218	0	0.014888	-0.044783	0.44168	0.022865	0.17581	0	-0.022195	0	0.82451	0.01323	-0.078082	0.061365	0.098415	0.069254	-0.11064	0.04812	0.023706	-0.14116	0.32624	-0.011335	-0.054151	-0.096176	0.021884	-0.14543	0.0073609	0.12963	-0.20124	0.021168	0.35381	0.66163	0.051956	-0.026577	0.043299	0.066945	-0.46881	-0.20548	-0.15221	-0.33017	-0.37977	-0.056981	-0.072982	0	0.1486	-0.1087	0.30425	0	0.026174	-0.061823	0.074984	-0.33329	-0.10882	0.01447	0	0.23994	0.057796	-0.43303	-0.16815	0.22299	-0.006684	-0.11168	0.033972	0.42645	-0.37318	0.33302	0.2155	0.0020805	-0.070546	0	-0.1013	0.25652	0.45786	-0.20081	-0.15233	0.079159	0	-0.011351	-0.13419	0.10249	-0.00013924	0.062508	-0.33101	-0.077212	-0.001447	0	0.072738	0.01976	-0.027671	-0.14684	0.10031	-0.15324	-0.046984	-0.16035	0.069697	0.032732	0.40794	0.80053	-0.17537	0	-0.1467	0.041883	0.019835	0.0032656	-0.2025	-0.04974	0.15173	-0.17993	-0.19925	0.46741	-0.13755	-0.19312	0.00027728	0.097829	
Amplification Peak  2 - CN values	1q21.3  	chr1:150551664-155874197(probes 1173:1175)  	chr1:150552562-155870293(probes 1174:1174)  	chr1:120529645-175888273(probes 1167:1392)  	2.7522e-16	 2.7522e-16		Actual Copy Change Given	0.13022	0.42066	0.015168	-0.033541	0.010285	0.12096	0.90211	0.044942	0	0.0049969	0.038771	0	0.13317	0.28745	-0.064911	1.0153	0.086233	0.15083	0.1601	0	0.61702	0.067805	0.28137	0.02806	0.59782	0	0.014609	0.069812	-0.0058062	0.21005	-0.040752	0.21115	-0.017631	0.066229	0.19664	0.21806	0.45547	-0.017116	0.041034	0.020763	0.85386	0.058224	-0.095252	0.76197	0.044148	0.069812	0.50654	0.039478	1.0665	0.45127	0.053421	0.24934	0.47701	0.65627	-0.13251	0.56543	0.086666	1.9792	0.24762	0.13687	0.6818	0.10366	0.11067	-0.025893	0.88186	0.0019418	-0.0030475	0.045141	0.084506	1.819	-0.013815	0	0.74975	0.20509	0	0.031577	-0.014453	0.6594	0.019363	2.4791	-0.020275	0.3055	0.20048	0.41999	1.2852	0.41999	0.098821	0.72228	0.11536	0.03347	0.67025	0.04373	0.53807	0.10246	1.0769	0.79743	0.55939	-0.018353	0.76542	0.031999	0.01419	0.48199	0.082323	0.060079	0.44952	-0.0045695	0.020063	-0.072797	0	0.017881	0.73246	0.11858	0.062409	0.019083	2.6338	1.0876	0.85087	0.9555	0.0091705	0.14503	0.12388	0	0.81261	0.0086135	0.34892	0.97234	1.2492	0	0.014888	1.6318	0.45139	0.5029	0.48376	0	-0.022195	0	1.4098	0.052668	-0.078082	0.061365	0.098415	0.15983	0.7808	0.04812	0.023706	0.26765	0.32624	-0.011335	0.44206	-0.0044312	0.1851	0.51368	0.0073609	0.12963	-0.20124	-0.18837	0.35381	2.0384	1.3265	-0.026577	0.043299	0.066945	3.6569	-0.20548	-0.15221	0.09638	1.7981	0.23804	0.40211	0	0.011121	1.9811	0.30425	0	0.026174	1.5387	-0.012989	0.75042	-0.10882	0.65222	-0.067988	1.5452	0.94712	1.1698	0.3499	0.22299	0.029641	0.55177	0.033972	0.42645	0.58095	1.7638	0.97812	0.0020805	0.24762	0	0.83396	1.321	0	1.6729	0.14088	0.079159	0	1.51	-0.13419	0.76697	-0.00013924	0.10702	0.77656	0.79423	0.052099	0	0.072738	0.01976	-0.027671	0.67209	0.45975	0.42267	0.33805	0.15278	0.1227	-0.031632	0.77502	0.024408	0.22623	0	0.16205	2.2837	0.019835	0.30482	0.36789	-0.04974	0.24045	0.88544	0.24249	0.46741	-0.13755	0.18071	0.57594	0.097829	
Amplification Peak  3 - CN values	2p21    	chr2:47257866-47698152(probes 3682:3693)      	chr2:47596684-47690231(probes 3683:3692)      	chr2:47596684-47703607(probes 3683:3695)      	0.088358	    0.14315		Actual Copy Change Given	0.18494	0.22114	0	0.017824	0.034395	0.021884	0	0	0.081604	-0.055229	-0.0012473	-0.047801	-0.0095426	-0.054555	0	0	0.51699	0.17407	0	-0.41102	-0.43854	-0.024114	0.039902	0	0	0.07369	0.028634	0.15179	0.044999	0.75452	0.074121	0.14726	0.040185	0.12771	0.13909	0	-0.033132	-0.029311	0	-0.083997	0.054091	-0.035993	0.017264	-0.022881	0.10016	0.038771	-0.15426	0.048688	0.23256	-0.0008316	0.15282	0.059508	0.42167	0.012795	0.10672	0.11565	-0.017803	0.14816	0.1628	0.063795	-0.1126	0.0083351	0.30549	-0.0011087	0.43564	-0.045364	0.10731	-0.031878	0.052099	0.037641	0.025812	0.063223	0.12358	-0.070216	-0.011198	0.032986	0.010903	0	-0.72646	0	-0.094328	0.061079	0.050108	-0.023566	-0.022469	-0.016627	0.018914	0.016168	0.17724	0.01896	0.0040243	0.033408	0.026795	0.0030522	-0.0098185	0.029888	0.37314	0	-0.021784	0.001803	0	0.67122	-0.025868	0.027497	0.058509	0.026373	0.020483	0	0.038347	0	-0.035585	0.50776	0.51896	-0.018765	1.3688	0.4693	0.029888	0	-0.022332	-0.14042	-0.0022168	-0.039529	0.014347	-0.044144	0.611	0.40844	0.29278	0.021183	0.031577	0.015587	-0.028901	-0.020824	0	0.46075	0.060079	0.081466	0.22607	-0.10088	0.47289	0.94466	0.33869	0.16703	-0.04722	0	0.05637	-0.12069	0.26781	0.12152	0.04812	-0.00097017	0.13081	0.62351	0.018243	-0.0023553	0.12035	0.060349	0.19695	0.47221	0.074552	0.128	0.079447	0.069669	0.43952	0.14058	0.22947	0.83412	-0.18735	0.25543	0	-0.0036011	0	0.17871	0	0.022725	0.11741	0.45258	0.0049969	0	0.21468	0.081026	0.032569	0.41781	0.20228	0.081899	0.024268	0.12918	0	0.45751	0.011818	0.063146	0.10307	-0.078544	0.0027745	0.024408	0.04429	0.0090312	0.039761	-0.048613	0.031295	0.22792	0.10425	-0.042994	-0.011506	-0.00097017	0.076279	0.045991	0.013632	0.033127	-0.023566	0.34421	0.0094491	-0.012989	0.0098669	0.05025	0.078727	0.48487	0.0095883	0.26875	0.07312	0.1158	0	-0.034223	0.41145	1.1076	1.1139	0.37249	0.10176	0.031859	0.12217	0.12756	0	0.038329	0.089272	0.15247	0.020343	0.41951	0.28358	0.0024969	-0.010232	0	
Amplification Peak  4 - CN values	2p16.1  	chr2:58496277-61755375(probes 3840:3852)      	chr2:61108982-61706027(probes 3842:3846)      	chr2:60170876-66352794(probes 3841:3854)      	0.11505	    0.17657		Actual Copy Change Given	0.18494	0.22114	0	0.017824	0.034395	0.021884	0	0	0.081604	-0.055229	-0.0012473	-0.047801	-0.0095426	-0.064	0	0	0.049114	0.17407	0	-0.41102	-0.43854	-0.024114	0.039902	0	0	0.07369	0.13806	0.15179	0.044999	0.25183	0.074121	0.14726	0.040185	0.69372	0.13909	0	-0.033132	-0.029311	0	-0.083997	0.054091	-0.035993	0.017264	-0.022881	0.10016	0.038771	-0.15426	0.048688	0.23256	-0.0008316	0.15282	0.059508	0.42167	0.012795	0.10672	0.11565	-0.017803	0.14816	0.1628	0.063795	-0.03682	0.0083351	0.30549	-0.0011087	0.43564	-0.045364	0.10731	-0.031878	0.052099	1.7685	0.025812	0.063223	0.12358	0.10056	-0.011198	0.032986	0.010903	0	0.62479	0	-0.094328	0.061079	0.050108	-0.023566	-0.022469	-0.016627	0.018914	0.016168	0.17724	0.01896	0.0040243	0.033408	0.026795	0.0030522	-0.0098185	0.029888	0.37314	0	-0.021784	0.001803	0	0.00013863	-0.025868	0.027497	0.058509	0.026373	0.020483	-0.0076776	0.038347	0	-0.035585	0.078006	0.087723	-0.018765	0.67558	-0.005814	0.029888	0	-0.022332	-0.14042	-0.0022168	-0.039529	0.014347	-0.044144	0.14935	0.40844	0.29278	0.021183	0.031577	0.015587	-0.028901	-0.020824	0	0.06494	0.060079	0.081466	0.22607	-0.10088	0.024689	0.82353	0.33869	0.16703	-0.04722	0	0.05637	-0.12069	0.26781	0.12152	0.04812	-0.00097017	0.13081	-0.116	0.018243	-0.0023553	0.12035	0.060349	0.19695	0.47221	0.074552	0.128	0.079447	0.069669	0.18858	0.14058	0.22947	0	-0.18735	0.25543	0	-0.0036011	0	0.17871	0	0.022725	0.11741	0.45258	0.0049969	0	0.21468	0.081026	0.032569	0.41781	0.20228	0.081899	0.024268	0.12918	0	0.45751	0.011818	0.063146	0.10307	-0.078544	0.0027745	0.024408	0.04429	0.0090312	0.039761	-0.048613	0.031295	0.22792	0.10425	-0.042994	-0.011506	-0.00097017	0.076279	0.045991	0.013632	0.033127	-0.023566	0.34421	0.0094491	-0.012989	0.0098669	0.05025	0.078727	0.10099	0.0095883	0.26875	0.07312	0.1158	0	-0.034223	0.41145	0.31452	1.1139	0.37249	0.10176	-0.53042	0.12217	3.6569	0	0.038329	0.089272	0.15247	0.020343	0.41951	0.28358	0.0024969	-0.010232	0	
Amplification Peak  5 - CN values	2q31.2  	chr2:170845414-193562207(probes 5954:6163)  	chr2:178129283-183485157(probes 5958:6037)  	chr2:173914776-198263244(probes 5955:6165)  	0.016181	   0.016181		Actual Copy Change Given	0.18494	0.22114	0	0.017824	0.034395	0.021884	0	0	0.081604	-0.055229	-0.0012473	-0.047801	-0.20394	-0.064	0	0	0.049114	0.17407	0	-0.41102	0.57755	0.050568	0.039902	0	0	0.07369	0.96206	0.15179	0.044999	0.25183	0.074121	0.14726	0.040185	0.061937	0.13909	0	-0.033132	-0.029311	0	-0.083997	-0.31202	-0.035993	0.017264	-0.022881	1.2109	0.038771	-0.15426	0.048688	0.23256	-0.0008316	0.15282	0.059508	0.05143	0.012795	0.10672	0.11565	-0.017803	0.014749	0.1628	0.063795	0.39562	0.0083351	0.061222	-0.0011087	0.017963	-0.045364	-0.016405	0	0.07743	-0.0047079	0.025812	0.023023	-0.0078863	0.068721	-0.011198	0.032986	-0.012469	0	0.0051359	0	-0.094328	0.061079	0.050108	-0.00097017	-0.36283	0	0	0.016168	0.059075	0.0045108	0.0040243	0.033408	0.026795	-0.019795	-0.0098185	0.029888	0.37314	0	-0.021784	0.001803	0	0.00013863	-0.029038	0.027497	0.058509	0.026373	0.020483	0.069572	0.038347	0	-0.035585	-0.034218	-0.02275	-0.018765	-0.011675	-0.11908	-0.051245	0	-0.022332	-0.14042	-0.0022168	-0.039529	0.014347	-0.044144	-0.029481	0.18662	0.10197	0.021183	-0.025206	0.015587	-0.028901	0.45786	0	-0.043101	0.060079	0.081466	0.22607	0	0.3747	0.033831	0.33869	0.16703	0.14518	0	-0.057257	-0.12069	0.26781	0.12152	0.04812	-0.00097017	-0.0051994	0.51507	0.018243	-0.0023553	0.060537	-0.12006	0.19695	0.56507	0.074552	0.128	0.079447	0.069669	0.1601	0.14058	3.6569	0	-0.28161	0.25543	-0.092845	-0.0036011	0	0.17871	-0.10717	0.022725	0.11741	0.45258	-0.017254	0	-0.080275	0.37594	-0.063242	0.12329	0.20228	-0.04017	0.024268	0.12918	0.031189	0.99987	0.011818	0	0	-0.078544	0.0027745	-0.063161	-0.048267	-0.105	-0.052172	-0.048613	0.57228	-0.018739	0	-0.042994	-0.011506	-0.037688	0.039219	0.045991	-0.051342	-0.036735	-0.046314	0.34421	0.0094491	-0.012989	-0.0069852	-0.0087796	-0.11849	0	0.0095883	0.061794	0	0.1158	-0.028491	0.00162	0.41145	0.16145	-0.21107	0.37249	0.10176	0.44732	0.025583	0.70363	0	-0.043737	0.089272	0.15247	0.020343	1.2705	0.28358	0.0024969	-0.010232	0	
Amplification Peak  6 - CN values	3q26.33 	chr3:181428062-182665073(probes 8911:8914)  	chr3:181430627-182662921(probes 8912:8913)  	chr3:164564580-198022430(probes 8895:9387)  	6.1364e-10	 6.1364e-10		Actual Copy Change Given	0.18389	-0.40429	-0.31026	3.6569	-0.27344	0.00097064	0.68027	0.0072217	0.24066	0.02806	0.044148	0.12329	-0.031359	0.7781	0.017684	0.11917	-0.0085766	0.83353	-0.011611	0.095508	0.81708	0.55744	0.06537	-0.093006	0.0024969	-0.055095	-0.037762	0.28834	0.10147	0.23488	0.25824	0.93834	0.10176	0.52415	0.48509	-0.15567	0.47903	0	0.016705	0.066086	0	-0.12174	0.94343	-0.023703	0.60124	0.034677	-0.37606	-0.035176	0.099288	-0.2463	-0.24639	-0.41166	-0.31529	-0.0042929	-0.059807	0.12918	0.056655	0.016286	-0.30885	1.2362	-0.031223	0.016286	0.39828	0.085365	0.88666	0	-0.070937	-0.082801	-0.098418	3.6569	0.028481	-0.16497	0.085365	0.052297	0.011958	-0.035312	-0.0078259	0.014888	-0.0062286	-0.10749	-0.39686	-0.082535	0.01074	-0.041431	0.2686	-0.022469	0.17721	-0.053911	-0.14554	0.063939	3.6569	0.029169	-0.045906	0	0.14478	0.042874	-0.41442	0.0023581	0.0045162	0.0076392	0.024829	0.028341	0.082621	-0.0051538	-0.0020784	-0.12291	-0.013127	0.012308	0.90683	0.11594	-0.0020784	-0.30886	0.031901	-0.090361	1.091	-0.15324	-0.031223	0.078582	0.25887	0.10668	-0.0067813	0.0044222	0.051689	0	-0.1109	0.59998	0.31771	0.017963	0.10135	-0.37347	0.2287	0.50707	-0.21268	-0.090066	-0.078544	-0.064374	0.30665	-0.12148	-0.055176	0.18616	-0.061555	-0.012552	-0.093535	0.048262	-0.017666	-0.12161	-0.20336	0.13672	0.32753	0.01447	0.48009	0.63808	-1.035	0.028622	0.51856	-0.070818	0.14073	0.52024	-0.17284	-0.19124	-0.028491	-0.027398	-0.048748	0.43344	3.2314	-0.33191	0.097106	0	-0.44491	-0.073343	0.031295	0.29052	-0.13225	0.012655	0.50151	0.077574	-0.045364	0.5359	-0.11796	0.01447	0.011963	0.54859	1.2156	-0.0098185	0.74708	-0.40396	-0.012737	0.43294	0.006109	0.49207	-0.48071	1.0325	0.04883	-0.022881	-0.052126	-0.035448	-0.0098185	-0.37324	-0.030267	0.079591	-0.065575	-0.051379	0.041283	0	-0.18057	-0.055229	0.022725	-0.0096806	-0.07214	0.68254	-0.049424	0.0091705	0.023426	0	-0.044686	0.47936	0.27493	-0.21342	1.0851	-0.0048461	0.42654	0.026935	0.095798	2.5554	0.82001	3.1676	-0.13096	-0.045093	0	3.6569	-0.051181	0.0012481	0.059223	-0.19388	-0.37076	0.544	0.097397	0.34226	-0.006505	0.025671	
