cytoband	6p22.2	5q31.3	1q21.1	20q13.2	6q21	17q23.3	3q29	14q13.3	11q13.1	12p12.1	21q22.11	7q31.2	8q24.13	8p23.1	13q33.1	4q31.21	3q21.3	10q21.2	7q36.1	11q14.2	15q25.3	2q31.2	12q14.3	15q26.3	5p13.2	16q24.1	19q13.33	21q22.3	
	HIST1H2BG							PTCSC3										CISD1					MIR548C		OXCT1				
	HIST1H2BF							LINC00609										PCDH15					LOC100129940		PRKAA1				
	HIST1H2BE																	BICC1					MIR548Z		PRLR				
	HIST1H2BC																	ARID5B					LOC100507065		PTGER4				
	HIST1H3A																	PHYHIPL					MIR6074		RAD1				
	HIST1H3D																	ADO					LOC105369187		RPL37				
	HIST1H3C																	JMJD1C-AS1							SEPP1				
	HIST1H3E																	C10orf107							SKP2				
	HIST1H3B																	TMEM26							SLC1A3				
	HIST1H4A																	RTKN2							ZNF131				
	HIST1H4D																	SLC16A9							OSMR				
	HIST1H4F																	FAM13C							NUP155				
	HIST1H4C																	REEP3							PAIP1				
	HIST1H4B																	JMJD1C							MRPS30				
	HIST1H4E																	IPMK							NNT				
	HIST1H4G																	LINC01553							TTC33				
	TRIM38																	LOC283045							NIPBL				
																		LRRTM3							RAI14				
																		FAM133CP							FBXO4				
																		MIR1296							WDR70				
																		MIR548F1							BRIX1				
																		MTRNR2L5							CCL28				
																		MIR3924							TMEM267				
																		LINC00844							AGXT2				
																		MRLN							C5orf42				
																		LINC00845							SPEF2				
																		TMEM26-AS1							CARD6				
																		LOC101928887							LMBRD2				
																		LINC01515							MROH2B				
																		LOC101928961							EGFLAM				
																		LOC105378311							NADK2				
																		LOC105378330							UGT3A1				
																		CCEPR							CAPSL				
																									DNAJC21				
																									TTC23L				
																									LOC153684				
																									UGT3A2				
																									NIM1K				
																									RANBP3L				
																									RICTOR				
																									C5orf51				
																									PLCXD3				
																									HCN1				
																									C5orf34				
																									ANXA2R				
																									SNORD72				
																									FLJ32255				
																									NIPBL-AS1				
																									LOC648987				
																									MIR580				
																									CCDC152				
																									LOC100132356				
																									MIR3650				
																									LOC100506406				
																									EGFLAM-AS2				
																									LIFR-AS1				
																									LOC100506548				
																									LOC100506639				
																									BRCAT54				
																									NNT-AS1				
																									EGFLAM-AS4				
																									GDNF-AS1				
																									OXCT1-AS1				
																									LINC01265				
																									LOC101926940				
																									LOC101926960				
																									FGF10-AS1				
																									LOC101929745				
																									OSMR-AS1				
																									MIR7641-2				
																									LINC00603				
																									BRCAT107				
																									LOC105374727				
																									LOC105374729				
