cytoband	19q12	8q24.3	3q26.2	10q26.13	5q31.3	7q34	6p21.33	20q13.33	1q21.2	12p13.33	19q13.2	19p13.11	11q14.1	5p15.33	2q11.2	15q13.2	14q11.2	13q33.1	15q26.3	1p36.33	14q32.33	2q14.1	8p11.1	4p16.3	17q25.3	20p13	1p34.2	2p25.1	9p24.2	2q31.2	12q13.2	17p11.2	
								MIR941-3					GUCY2EP	MIR4456			OR4K15			MIR200B				ZFYVE28	SLC16A3		CFAP57	LOC101929882					
								MIR1914					LOC646029	MIR4635			RNASE7			ANKRD65				HAUS3	HGS		C1orf210						
								ZBTB46-AS1					KCTD21-AS1	LOC100996325			RPPH1			MIR429				ABCA11P	AATK		RIMKLA						
								MIR6813					NDUFC2-KCTD14	CTD-3080P12.3			TMEM55B			TMEM88B				MFSD7	EIF4A3		LOC339539						
													LOC101928837	HRAT5			TTC5			MIR6726				TMEM175	ALYREF		SVBP						
													LOC101928865				RNASE11			MIR6727				CTBP1-AS2	BAIAP2		SLC2A1-AS1						
													LOC101928896				TPPP2			MIR6808				TMEM129	RAB40B		FAM183A						
																	RNASE8			LOC102724312				FAM53A	CEP131		CCDC30						
																	OR4K14							ZNF721	FSCN2		LOC100129924						
																	OR4L1							ZNF718	NARF		MIR6733						
																	OR11H6							CTBP1-AS	DCXR		MIR6735						
																	KLHL33							CRIPAK	ANAPC11		MIR6734						
																	LOC254028							RNF212	SIRT7		LOC105378683						
																	LINC00641							NAT8L	CCDC40								
																	RNASE10							POLN	NPLOC4								
																	OR6S1							C4orf48	WDR45B								
																	OR4N2							ZNF876P	CBX8								
																	OR4K2							ZNF732	RPTOR								
																	OR4K13							SCARNA22	BAHCC1								
																	OR4K17							MIR571	RNF213								
																	OR4N5							MIR943	DUS1L								
																	OR11G2							LOC100129917	FN3K								
																	OR11H4							LOC100130872	ASPSCR1								
																	RNASE9							TMED11P	CARD14								
																	OR5AU1							MIR4800	C17orf62								
																	RNASE13							LOC105374344	CHMP6								
																	OR4Q3								FN3KRP								
																	OR4M1								OGFOD3								
																	RNASE12								ZNF750								
																	ECRP								FAAP100								
																	TMEM253								TSPAN10								
																	SNORD126								CBX2								
																	LOC101929718								MAFG-AS1								
																	MIR6717								PPP1R27								
																									SLC38A10								
																									TBC1D16								
																									TEPSIN								
																									B3GNTL1								
																									RBFOX3								
																									NOTUM								
																									CENPX								
																									LRRC45								
																									MYADML2								
																									NPB								
																									CCDC57								
																									HEXDC								
																									SLC26A11								
																									ENDOV								
																									NDUFAF8								
																									LINC00482								
																									TMEM105								
																									METRNL								
																									ENPP7								
																									OXLD1								
																									CCDC137								
																									ARL16								
																									MCRIP1								
																									AATK-AS1								
																									RPL23AP87								
																									TEX19								
																									BAIAP2-AS1								
																									MIR338								
																									MIR657								
																									LOC100130370								
																									LOC100294362								
																									MIR1250								
																									MIR3065								
																									MIR3186								
																									MIR1268B								
																									MIR4739								
																									MIR4525								
																									MIR4740								
																									MIR4730								
																									HP09025								
																									LOC101928738								
																									LOC101928766								
																									LOC101928855								
																									LOC101929511								
																									LOC101929552								
																									MIR6786								
																									MIR6787								
																									LOC105371925								
																									SNORD134								
