cytoband	19q12	8q24.3	3q26.2	10q26.13	5q31.3	7q34	6p21.33	20q13.33	1q21.2	19q13.2	19p13.11	12p13.33	11q14.1	5p15.33	15q13.2	2q11.2	14q11.2	1p36.33	13q33.1	15q26.3	14q32.33	8p11.21	2q14.1	12q12	4p16.3	17q25.3	20p13	12p11.23	2p25.1	2q31.2	1p34.2	17p11.2	
			MYNN		PCDHA3			PRPF6	RPRD2		EPS15L1	CCDC77	OMP	EXOC3			RNASE3	C1orf159							MYL5	GCGR	DEFB127	PPFIBP1	TAF1B		TIE1		
			LRRC31		PCDHA2			SOX18	ADAMTSL4		TMEM38A	FBXL14	PAK1	PP7080			RNASE4	AURKAIP1							PDE6B	UTS2R	DEFB129	MED21	ITGB1BP1		PPIH		
			PHC3		PCDHA1			UCKL1	GOLPH3L		SMIM7	B4GALNT3	THAP12	CEP72			RNASE6	MRPL20							WHSC1	GPS1	DEFB125	RASSF8	YWHAQ		EBNA1BP2		
			ACTRT3					PCMTD2	TARS2		SLC35E1	IQSEC3	THRSP	AHRR			TEP1	VWA1							NELFA	FOXK2	DEFB128	STK38L	GRHL1		FOXJ3		
			EGFEM1P					ZNF512B	HORMAD1		C19orf44	LOC574538	UVRAG	BRD9			PARP2	CPTP							ZNF141	MAFG	DEFB132	FGFR1OP2	CPSF3		SZT2		
			LRRC34					DNAJC5	ADAMTSL4-AS1		HSH2D	FAM138D	WNT11	ZDHHC11			EDDM3A	CCNL2							SLBP	NPTX1	NRSN2-AS1	ERGIC2	KIDINS220		ZNF691		
			LRRIQ4					ZBTB46	MIR4257		CIB3	LOC100049716	GAB2	CLPTM1L			SLC39A2	TAS1R3							MAEA	P4HB		TM7SF3	NOL10		HIVEP3		
			SAMD7					SAMD10	FALEC		CALR3	LOC100288778	TSKU	NKD2			ZNF219	ACAP3							PCGF3	PDE6G		CASC1	MBOAT2		P3H1		
			MIR551B					ABHD16B	MIR6878		NWD1	LINC00942	TENM4	EXOC3-AS1			OSGEP	UBE2J2							SPON2	PYCR1		CCDC91	CYS1		ELOVL1		
			LOC100128164					LINC00266-1				LOC101929384	AAMDC	CCDC127			ARHGEF40	PUSL1							TACC3	PCYT2		FAR2	IAH1		C1orf50		
			LOC100507661					LKAAEAR1				LOC102723544	RSF1	PLEKHG4B			NDRG2	B3GALT6							MXD4	RAC3		ASUN	LINC00299		PPCS		
			LOC105374205					LINC00176				LOC105369595	ACER3	SLC6A19			CCNB1IP1	LOC148413							CPLX1	RFNG		ARNTL2	C2orf48		HYI		
								MIR647					EMSY	SLC6A18			EDDM3B	ATAD3C							SLC26A1	MRPL12		KLHL42	SNORA80B		ZMYND12		
								UCKL1-AS1					USP35	LRRC14B			METTL17	LINC01342							FGFRL1	SECTM1		MRPS35	MIR4261		MED8		
								MIR941-1					KCTD14	LOC100288152			OR4K5	TTLL10							NKX1-1	SGSH		BHLHE41	ID2-AS1		ERMAP		
								MIR941-4					ALG8	LOC100506688			OR11H2	FAM132A							PIGG	TBCD		TMTC1	LOC101929567		TMEM125		
								MIR941-2					NARS2	MIR4457			OR4K1	MIR200A							UVSSA	CBX4		LINC00477	LOC101929715		CLDN19		
								MIR941-3					MOGAT2	MIR4456			OR4K15	MIR200B							ZFYVE28	SLC16A3		ETFRF1	LOC101929882		CFAP57		
								MIR1914					GDPD5	MIR4635			RNASE7	ANKRD65							HAUS3	HGS		LMNTD1			C1orf210		
								ZBTB46-AS1					DGAT2	LOC100996325			RPPH1	MIR429							ABCA11P	AATK		C12orf77			RIMKLA		
								MIR6813					INTS4	CTD-3080P12.3			TMEM55B	TMEM88B							MFSD7	EIF4A3		SMCO2			LOC339539		
													B3GNT6	HRAT5			TTC5	MIR6726							TMEM175	ALYREF		OVCH1			SVBP		
													GDPD4				RNASE11	MIR6727							CTBP1-AS2	BAIAP2		REP15			SLC2A1-AS1		
													AQP11				TPPP2	MIR6808							TMEM129	RAB40B		LOC645177			FAM183A		
													LOC283214				RNASE8	LOC102724312							FAM53A	CEP131		C12orf71			CCDC30		
													KCTD21				OR4K14								ZNF721	FSCN2		MIR920			LOC100129924		
													GUCY2EP				OR4L1								CTBP1-AS	NARF		MANSC4			MIR6733		
													LOC646029				OR11H6								CRIPAK	DCXR		MIR4302			MIR6735		
													MIR708				KLHL33								RNF212	ANAPC11		RASSF8-AS1			MIR6734		
													KCTD21-AS1				LOC254028								NAT8L	SIRT7		LOC100506606			LOC105378683		
													LOC100506127				LINC00641								POLN	CCDC40		OVCH1-AS1					
													NDUFC2-KCTD14				RNASE10								C4orf48	NPLOC4		LOC101928471					
													MIR5579				OR6S1								ZNF876P	WDR45B		ARNTL2-AS1					
													LOC101928837				OR4N2								ZNF732	CBX8							
													LOC101928865				OR4K2								SCARNA22	RPTOR							
													LOC101928896				OR4K13								MIR571	BAHCC1							
																	OR4K17								MIR943	RNF213							
																	OR4N5								LOC100129917	DUS1L							
																	OR11G2								LOC100130872	FN3K							
																	OR11H4								TMED11P	ASPSCR1							
																	RNASE9								MIR4800	CARD14							
																	OR5AU1								LOC105374344	C17orf62							
																	RNASE13									CHMP6							
																	OR4Q3									FN3KRP							
																	OR4M1									OGFOD3							
																	RNASE12									ZNF750							
																	ECRP									FAAP100							
																	TMEM253									TSPAN10							
																	SNORD126									CBX2							
																	LOC101929718									MAFG-AS1							
																	MIR6717									PPP1R27							
																										SLC38A10							
																										TBC1D16							
																										TEPSIN							
																										B3GNTL1							
																										RBFOX3							
																										NOTUM							
																										CENPX							
																										LRRC45							
																										MYADML2							
																										NPB							
																										CCDC57							
																										HEXDC							
																										SLC26A11							
																										ENDOV							
																										NDUFAF8							
																										LINC00482							
																										TMEM105							
																										METRNL							
																										ENPP7							
																										OXLD1							
																										CCDC137							
																										ARL16							
																										MCRIP1							
																										AATK-AS1							
																										RPL23AP87							
																										TEX19							
																										BAIAP2-AS1							
																										MIR338							
																										MIR657							
																										LOC100130370							
																										LOC100294362							
																										MIR1250							
																										MIR3065							
																										MIR3186							
																										MIR1268B							
																										MIR4739							
																										MIR4525							
																										MIR4740							
																										MIR4730							
																										HP09025							
																										LOC101928738							
																										LOC101928766							
																										LOC101928855							
																										LOC101929511							
																										LOC101929552							
																										MIR6786							
																										MIR6787							
																										LOC105371925							
																										SNORD134							
