Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	X1032	X103	X1040	X106	X1364	X1552	X1634	X1677	X1718	X2176	X2556	X2577	X2587	X429	X655	X860	X991	
Deletion Peak 17	17p11.2 	chr17:1-83257441(probes 188073:199778)           	chr17:21305301-21574444(probes 190826:190831)  	chr17:21415184-21535599(probes 190828:190829)  	0.24683	    0.24789		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	1	1	0	1	1	1	1	1	0	1	0	1	0	1	1	1	0	
Deletion Peak 18	17q21.31	chr17:46196554-46768199(probes 194598:194618)  	chr17:46337401-46749738(probes 194611:194614)  	chr17:46283576-46755199(probes 194608:194616)  	0.013191	   0.013191		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	
Deletion Peak 19	19p13.3 	chr19:1918101-1971499(probes 204169:204171)      	chr19:1918101-1971499(probes 204169:204171)      	chr19:1-4906482(probes 203851:204598)             	8.9945e-05	 8.9945e-05		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	1	0	0	1	1	1	0	0	0	1	0	0	1	1	1	0	
Deletion Peak 20	20p13   	chr20:1578801-1630299(probes 215493:215500)      	chr20:1588601-1630299(probes 215494:215500)      	chr20:1619801-1625149(probes 215498:215499)      	0.021948	   0.021948		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	
Deletion Peak 21	21p12   	chr21:5136668-9043549(probes 221030:221033)      	chr21:5144834-9043549(probes 221031:221033)      	chr21:6459601-9051899(probes 221033:221034)      	0.17478	    0.17478		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	
Deletion Peak 22	21q22.3 	chr21:44338349-44465979(probes 222969:223005)  	chr21:44338459-44465979(probes 222970:223005)  	chr21:44401912-44406091(probes 222988:222989)  	0.17891	    0.17891		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	1	
Deletion Peak 23	22q11.21	chr22:18608701-18994424(probes 223725:223729)  	chr22:18608801-18994424(probes 223726:223729)  	chr22:18186501-19041999(probes 223713:223736)  	0.0024906	  0.0024906		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	
Deletion Peak 24	22q13.2 	chr22:42087101-42150399(probes 227574:227582)  	chr22:42087101-42150399(probes 227574:227582)  	chr22:42087201-42127802(probes 227575:227576)  	0.002537	   0.002537		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	1	0	0	1	1	1	0	0	0	1	0	0	1	1	1	1	
Deletion Peak  1 - CN values	1p36.13 	chr1:15833568-152032799(probes 1641:12090)     	chr1:16551101-16624299(probes 1757:1778)        	chr1:16550801-16630799(probes 1756:1783)        	0.059741	   0.059741		Actual Copy Change Given	0.041611	0.026792	0.16075	-0.19863	-0.44374	-0.7306	-0.28687	0.011134	0.29823	-0.24108	0.46074	0.12036	-0.26127	0.0074149	0.061956	-0.0070133	-1.0179	
Deletion Peak  2 - CN values	3p22.2  	chr3:1-52406199(probes 40079:44819)               	chr3:35206766-39143599(probes 42752:43102)      	chr3:35216701-39332199(probes 42753:43113)      	0.15257	    0.15257		Actual Copy Change Given	-0.22814	0.04771	-0.12807	-0.01519	-0.10892	-0.60813	-0.22342	0.22529	0.080011	-0.2567	0.13697	-0.26342	-0.37339	-0.73478	-0.63107	-0.50781	-0.020599	
Deletion Peak  3 - CN values	5q13.2  	chr5:70109801-70510199(probes 70399:70402)      	chr5:70109801-70510199(probes 70399:70402)      	chr5:69579901-71206699(probes 70346:70417)      	2.1132e-06	 2.1132e-06		Actual Copy Change Given	0.30543	-1.2929	0.04997	0.17323	-0.43254	-0.45775	-0.24548	-0.24357	-0.10655	-0.27378	-0.15437	-0.27916	-0.20597	-0.030409	0	-0.88426	0.27951	
Deletion Peak  4 - CN values	6q27    	chr6:166166701-166382992(probes 90223:90232)  	chr6:166166901-166382992(probes 90224:90232)  	chr6:166307319-166326100(probes 90226:90227)  	0.025141	   0.025262		Actual Copy Change Given	-0.50139	-0.77211	0.053917	0.25076	-0.42255	-0.55301	-0.047231	-0.1651	-0.31587	-0.61083	-0.82648	-0.0074283	-0.26186	-0.0078597	-0.85169	-0.29021	-0.46086	
Deletion Peak  5 - CN values	7p22.1  	chr7:6731701-7072949(probes 91387:91421)          	chr7:6773601-6835699(probes 91395:91405)          	chr7:6781401-6880199(probes 91396:91409)          	0.0091779	  0.0091779		Actual Copy Change Given	-0.51351	-0.77106	-0.015859	-0.19218	-0.54441	-1.2929	-0.25615	-0.22799	-0.12764	-0.26784	-0.33214	0.080432	-0.27483	-0.7713	-0.64927	-0.52249	-0.18859	
Deletion Peak  6 - CN values	7q34    	chr7:141945504-142130934(probes 101789:101856)	chr7:141946101-142130934(probes 101790:101856)	chr7:142059486-142066899(probes 101824:101825)	0.084833	   0.084833		Actual Copy Change Given	0.31521	0.7463	0.056591	0.090541	1.2551	1.0812	0.24422	0.0081627	-0.10524	-0.33314	0.47734	-0.18095	-0.15923	0.21577	0.51504	-0.015808	-0.20033	
Deletion Peak  7 - CN values	8p23.1  	chr8:12129401-12381449(probes 104336:104342)    	chr8:12132501-12381449(probes 104337:104342)    	chr8:12133001-12703499(probes 104338:104350)    	0.00038071	 0.00038071		Actual Copy Change Given	-0.010889	-0.096043	-0.26894	-0.18912	0.115	-0.99036	-0.25656	-0.2417	-0.020014	-0.23812	-1.1564	-0.41162	-0.40934	-0.78673	-0.020186	0.0068727	0.53314	
Deletion Peak  8 - CN values	9q33.3  	chr9:126833201-127034599(probes 121017:121023)	chr9:126833617-127034599(probes 121018:121023)	chr9:126833617-127049930(probes 121018:121025)	0.19858	    0.19858		Actual Copy Change Given	-0.22784	0.036753	-0.17453	0.070337	-0.4268	-0.46547	0.0088044	0.039447	-0.10152	-0.37415	-1.2929	-0.16273	-0.025062	-0.79224	0.17811	-0.48977	0.018514	
Deletion Peak  9 - CN values	10q22.1 	chr10:68267468-110853959(probes 128352:132306)	chr10:72258201-72336699(probes 128808:128810)  	chr10:72213201-72341199(probes 128803:128812)  	0.15296	    0.15296		Actual Copy Change Given	-0.81334	-0.7763	0.02261	-0.028979	-0.49917	0	0.021498	-0.0053081	0.13116	-0.13787	0.30263	0.050005	0.21343	0.02288	0.35411	0.29699	0.4221	
Deletion Peak 10 - CN values	13q11   	chr13:1-18819299(probes 158197:158230)         	chr13:18183226-18233899(probes 158199:158205)  	chr13:1-18468799(probes 158197:158224)         	0.17315	    0.17228		Actual Copy Change Given	-0.15204	-0.80446	-0.3938	-0.022927	0.51845	-0.49126	0.0071129	-0.030605	-0.12069	-0.26685	-0.43761	-0.10065	-0.1263	-0.83803	-0.166	-1.0314	0.43813	
Deletion Peak 11 - CN values	14q24.1 	chr14:1-90475452(probes 164329:169833)         	chr14:64775301-71581049(probes 168125:168703)  	chr14:57288801-71982266(probes 167311:168731)  	0.084833	   0.084833		Actual Copy Change Given	-0.24057	-0.76844	-0.17387	0.12135	0.17426	-0.52345	0.031772	-0.021731	-0.089717	-0.25651	-0.015343	-0.097151	-0.21516	-0.74024	-0.65011	-0.50616	0.075529	
Deletion Peak 12 - CN values	15q24.3 	chr15:76942251-77052599(probes 177172:177192)  	chr15:76979701-77052599(probes 177177:177192)  	chr15:77018301-77114999(probes 177184:177197)  	0.064667	   0.064667		Actual Copy Change Given	-0.17823	-0.77095	-0.11344	0.099919	-0.063019	0.096661	0.021357	0.0065335	-0.35215	-0.22716	-0.87567	-0.18957	0.14407	0.0093573	-0.17856	-0.0008101	0.47555	
Deletion Peak 13 - CN values	16p13.3 	chr16:3646461-4192299(probes 180201:180251)      	chr16:3850401-3974019(probes 180233:180234)      	chr16:3691101-3990659(probes 180209:180236)      	0.091032	   0.091032		Actual Copy Change Given	-0.22446	0.017889	-0.194	-0.21536	0.19936	0.51432	0.035644	-0.094749	0.28495	0.083632	-0.53639	0.14356	0.033637	0.022871	-0.59663	-0.50994	0.47907	
Deletion Peak 14 - CN values	16q22.1 	chr16:70036504-70220821(probes 186152:186178)  	chr16:70156501-70212236(probes 186176:186177)  	chr16:70129001-70221237(probes 186157:186179)  	0.11144	    0.11144		Actual Copy Change Given	-0.21799	0.0010867	-0.16423	-0.15535	-0.44847	-0.54222	-0.38353	0.098048	-0.098548	0.07925	-0.44136	0.022009	-0.34237	0.0081081	-0.60987	-0.47382	0.48718	
Deletion Peak 15 - CN values	16q24.1 	chr16:84872493-85099399(probes 187347:187366)  	chr16:84988901-85082502(probes 187357:187364)  	chr16:84981821-85086499(probes 187355:187365)  	0.09746	    0.09746		Actual Copy Change Given	-0.27516	-0.032404	-0.09693	-0.1724	-0.34216	-0.63839	-0.22198	-0.081181	-0.39558	-0.3672	-0.056789	-0.023702	-0.61264	-0.020612	-0.70698	-1.0367	0.43121	
Deletion Peak 16 - CN values	17p11.2 	chr17:18400920-18636623(probes 190450:190469)  	chr17:18494398-18594699(probes 190464:190465)  	chr17:18441901-18625309(probes 190454:190467)  	0.10387	      0.104		Actual Copy Change Given	-0.24322	-0.78271	-0.26645	-0.2657	-0.63464	-0.52233	-0.31684	-0.20227	0.065743	-0.46282	0.16741	0.09176	-0.37303	-0.61163	-0.65043	-0.50321	0.31388	
Deletion Peak 17 - CN values	17p11.2 	chr17:1-83257441(probes 188073:199778)           	chr17:21305301-21574444(probes 190826:190831)  	chr17:21415184-21535599(probes 190828:190829)  	0.24683	    0.24789		Actual Copy Change Given	-0.25992	-0.75858	0.10632	-0.29058	-0.50533	-0.43402	-0.29509	-0.28135	0.07818	-0.29736	0.2724	-0.42005	-0.061145	-0.68309	-0.99868	-0.47163	0.19438	
Deletion Peak 18 - CN values	17q21.31	chr17:46196554-46768199(probes 194598:194618)  	chr17:46337401-46749738(probes 194611:194614)  	chr17:46283576-46755199(probes 194608:194616)  	0.013191	   0.013191		Actual Copy Change Given	0.062667	-1.2929	0.46372	-0.016406	-0.14745	0.060213	-0.33499	-0.15851	-0.1642	0.29109	-0.95014	0.045266	0.28121	-0.8361	-0.41593	-0.013226	0.42216	
Deletion Peak 19 - CN values	19p13.3 	chr19:1918101-1971499(probes 204169:204171)      	chr19:1918101-1971499(probes 204169:204171)      	chr19:1-4906482(probes 203851:204598)             	8.9945e-05	 8.9945e-05		Actual Copy Change Given	-0.18581	-0.78451	-0.19639	-0.15946	-0.41796	-0.93169	-0.29308	-0.075507	-0.072572	-0.21828	-0.93374	0.19263	-0.12119	-0.80158	-0.56309	-0.40639	-0.08498	
Deletion Peak 20 - CN values	20p13   	chr20:1578801-1630299(probes 215493:215500)      	chr20:1588601-1630299(probes 215494:215500)      	chr20:1619801-1625149(probes 215498:215499)      	0.021948	   0.021948		Actual Copy Change Given	0.47116	-0.76311	0.064406	-0.069164	-0.45784	0.45431	0.025751	0.069517	0.27101	0.11624	0.59316	-0.078134	0.017401	-0.71987	0.12532	-0.43426	0.46777	
Deletion Peak 21 - CN values	21p12   	chr21:5136668-9043549(probes 221030:221033)      	chr21:5144834-9043549(probes 221031:221033)      	chr21:6459601-9051899(probes 221033:221034)      	0.17478	    0.17478		Actual Copy Change Given	-0.078029	-0.65542	0.19277	-0.047231	-0.48013	0.27652	-0.11907	-0.1438	-0.093961	-0.19193	-0.27865	-0.079185	-0.039556	0.70541	-0.63203	-0.02712	-0.43295	
Deletion Peak 22 - CN values	21q22.3 	chr21:44338349-44465979(probes 222969:223005)  	chr21:44338459-44465979(probes 222970:223005)  	chr21:44401912-44406091(probes 222988:222989)  	0.17891	    0.17891		Actual Copy Change Given	-0.069332	-0.79781	-0.055312	-0.059706	-0.31353	-0.0012427	0.12678	-0.11006	-0.05843	-0.61986	-0.96175	-0.44918	0.035448	0.70867	-0.62177	0.15952	-0.62589	
Deletion Peak 23 - CN values	22q11.21	chr22:18608701-18994424(probes 223725:223729)  	chr22:18608801-18994424(probes 223726:223729)  	chr22:18186501-19041999(probes 223713:223736)  	0.0024906	  0.0024906		Actual Copy Change Given	-0.10073	-0.27227	-0.039851	-0.031385	-0.56018	-0.49972	-0.02703	-0.068278	-0.13615	0.035141	-0.42455	0.077403	-0.073111	-1.0363	-1.0035	0.081163	-0.18686	
Deletion Peak 24 - CN values	22q13.2 	chr22:42087101-42150399(probes 227574:227582)  	chr22:42087101-42150399(probes 227574:227582)  	chr22:42087201-42127802(probes 227575:227576)  	0.002537	   0.002537		Actual Copy Change Given	-0.21604	-1.2929	-0.20835	-0.08834	-0.36406	-1.0613	-0.26064	-0.10168	-0.18819	-0.24046	-0.73047	0.079296	-0.21754	-0.7796	-0.47685	-0.5048	-0.27394	
