Gene Symbol	Gene ID	Cytoband	X1032	X103	X1040	X106	X1364	X1552	X1634	X1677	X1718	X2176	X2556	X2577	X2587	X429	X655	X860	X991
ATAD3C	219293	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
ATAD3B	83858	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
ATAD3A	55210	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
TMEM240	339453	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
SSU72	29101	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
FNDC10	643988	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
MIB2	142678	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
MMP23A	8511	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
MMP23B	8510	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
CDK11B	984	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.673
SLC35E2B	728661	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.612
CDK11A	728642	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.681	0.227	0.145	0.729	0.301	0.208	-0.612
SLC35E2	9906	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.540	0.227	0.145	0.729	0.301	0.208	-0.612
NADK	65220	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.540	0.227	0.145	0.729	0.301	0.208	-0.612
GNB1	2782	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.540	0.227	0.145	0.729	0.301	0.208	-0.612
CALML6	163688	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.540	0.227	0.145	0.729	0.301	0.208	-0.612
TMEM52	339456	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.540	0.227	0.145	0.729	0.301	0.208	-0.612
CFAP74	85452	1p36.33	0.732	0.027	0.338	-0.199	-0.327	-0.413	-0.229	-0.093	0.406	-0.160	0.540	0.227	0.145	0.729	0.301	0.208	-0.612
GABRD	2563	1p36.33	0.732	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.406	-0.160	0.540	0.227	0.145	0.729	0.301	0.208	-0.612
LOC105378591	105378591	1p36.33	0.732	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.406	-0.160	0.540	0.227	0.145	0.729	0.301	0.208	-0.612
PRKCZ	5590	1p36.33	0.732	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.406	-0.160	0.540	0.227	0.145	0.729	0.301	0.208	-0.612
FAAP20	199990	1p36.33	0.732	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.406	-0.160	0.540	0.227	0.145	0.729	0.301	0.208	-0.612
SKI	6497	1p36.33	0.732	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.406	-0.160	0.540	0.227	0.145	0.956	0.301	0.208	-0.612
MORN1	79906	1p36.32	0.732	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.406	-0.160	0.540	0.227	0.145	0.956	0.301	0.208	-0.612
LOC100129534	100129534	1p36.32	0.732	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.406	-0.160	0.540	0.227	0.145	0.956	0.301	0.208	-0.612
RER1	11079	1p36.32	0.732	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.406	-0.160	0.540	0.227	0.145	0.956	0.301	0.208	-0.612
PEX10	5192	1p36.32	0.732	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.406	-0.160	0.540	0.227	0.145	0.956	0.301	0.208	-0.612
PLCH2	9651	1p36.32	0.732	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.406	-0.160	0.540	0.227	0.145	0.956	0.301	0.208	-0.612
PANK4	55229	1p36.32	0.732	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.500	-0.160	0.540	0.227	0.145	0.705	0.301	0.208	-0.612
HES5	388585	1p36.32	0.732	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.500	-0.160	0.540	0.227	0.145	0.705	0.301	0.208	-0.612
LOC115110	115110	1p36.32	0.732	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.500	-0.160	0.540	0.227	0.145	0.705	0.301	0.208	-0.612
TNFRSF14	8764	1p36.32	0.732	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.500	-0.160	0.540	0.227	0.145	0.705	0.301	0.208	-0.612
LOC100996583	100996583	1p36.32	0.732	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.500	-0.160	0.540	0.227	0.145	0.705	0.301	0.069	-0.612
FAM213B	127281	1p36.32	0.732	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.500	-0.160	0.540	0.227	0.145	0.705	0.301	0.069	-0.612
MMEL1	79258	1p36.32	0.732	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.500	-0.160	0.540	0.227	0.145	0.705	0.301	0.069	-0.612
TTC34	100287898	1p36.32	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.160	0.540	0.127	0.145	0.705	0.301	0.069	-0.612
ACTRT2	140625	1p36.32	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.160	0.540	0.127	0.145	0.705	0.301	0.069	-0.612
LINC00982	440556	1p36.32	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.160	0.540	0.127	0.145	0.705	0.301	0.069	-0.612
PRDM16	63976	1p36.32	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.160	0.540	0.127	0.145	0.705	0.301	0.069	-0.612
MIR4251	100422968	1p36.32	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.160	0.540	0.127	0.145	0.705	0.301	0.069	-0.612
ARHGEF16	27237	1p36.32	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.160	0.540	0.127	0.145	0.705	0.301	0.069	-0.612
MEGF6	1953	1p36.32	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.160	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
MIR551A	693135	1p36.32	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.160	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
hsa-mir-551a	-612	1p36.32	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.160	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
TPRG1L	127262	1p36.32	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.160	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
WRAP73	49856	1p36.32	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.160	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
TP73	7161	1p36.32	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.160	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
TP73-AS1	57212	1p36.32	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
CCDC27	148870	1p36.32	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
SMIM1	388588	1p36.32	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
LRRC47	57470	1p36.32	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
CEP104	9731	1p36.32	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
DFFB	1677	1p36.32	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
C1orf174	339448	1p36.32	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
AJAP1	55966	1p36.32	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
LINC01134	100133612	1p36.32	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
LINC01346	728716	1p36.32	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
LOC284661	284661	1p36.32	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
MIR4417	100616489	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
MIR4689	100616421	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
NPHP4	261734	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
KCNAB2	8514	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
CHD5	26038	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
RPL22	6146	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
LOC102724450	102724450	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
RNF207	388591	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
ICMT	23463	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
LINC00337	148645	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
HES3	390992	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
GPR153	387509	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.285	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
ACOT7	11332	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.531	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
HES2	54626	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.531	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
ESPN	83715	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.531	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
MIR4252	100422975	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.531	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
TNFRSF25	8718	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.531	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
PLEKHG5	57449	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.531	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
NOL9	79707	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.531	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
TAS1R1	80835	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.531	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
ZBTB48	3104	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.531	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
KLHL21	9903	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.531	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
PHF13	148479	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.413	-0.229	-0.093	0.531	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
THAP3	90326	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.480	-0.229	-0.093	0.531	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
DNAJC11	55735	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.480	-0.229	-0.093	0.531	-0.241	0.540	0.127	0.145	0.830	0.301	0.069	-0.612
CAMTA1	23261	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.480	-0.229	-0.093	0.293	-0.241	0.540	0.127	0.145	0.746	0.301	0.069	-0.612
LOC100505887	100505887	1p36.31	0.332	0.027	0.338	-0.199	-0.444	-0.480	-0.229	-0.093	0.293	-0.241	0.540	0.127	0.145	0.746	0.301	0.069	-0.612
